昵称,地区,时间,评论
漂泊的小一,广东,2024-07-23 09:26:23,我试了一下，两后轮直接报废
姿妹纸你好,湖南,2024-07-23 09:24:54,我才知道电动汽车也会冒尾烟[捂脸]
文人,湖北,2024-07-23 08:09:02,不应诱导开车玩漂移
🌈拼搏才有未来,江西,2024-07-23 07:38:34,出事已经过了一半年[微笑]
沐沐,陕西,2024-07-23 07:35:58,哎，自从老二诞生，两个牛牛娃，现在k50都没没换k70，更别说小米Su70了。
拾趣,浙江,2024-07-23 02:33:05,雷总，如果你用这个当头像就给我买一辆小米su7吧
Jason,江苏,2024-07-23 02:06:06,雷总，如果你用这个图做头像，那就给我买一辆su7
赵财猫ꦿ໌້۵,河南,2024-07-23 00:31:04,雷总真是听劝啊！分分钟满足网友的建议
林·,浙江,2024-07-23 00:00:58,雷总居然还教我们
燕子民族设计［招代理］,贵州,2024-07-22 23:59:59,军儿，如果你用这个照片当头像，你就买一辆小米su7给我[OK]
_柯柯柯柯柯,广东,2024-07-22 23:59:46,雷总，如果你用这个照片当头像，你就给我买一台小米su7[OK]
房产推荐倌👍,江苏,2024-07-22 23:44:49,呦，好起来了嘛。小米的广告都接到了[赞]
养了个杨,浙江,2024-07-22 23:35:17,为什么你能接到小米的广告[捂脸][OK]
Gl,云南,2024-07-22 23:33:30,小米13手机烫手怎么解
🔥王哥说媒（找对象相亲联系我）,浙江,2024-07-22 23:25:30,这一张也很帅
小武汉,湖北,2024-07-22 23:21:25,我是米粉，但是小米能颠覆几百年的技术，我还是很怀疑的！
是小新O,甘肃,2024-07-22 22:52:21,雷总您看那个小米卫生巾的事……
刘航,浙江,2024-07-22 22:35:25,雷总什么时候出个电动车🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵🛵
Coco@,江苏,2024-07-22 22:28:58,爸，您注意安全啊[阴险]
缘为冰,云南,2024-07-22 22:25:00,要注意安全爸[送心][送心]
迪迪是只哈士奇,广东,2024-07-22 22:17:15,军啊，如果你用这个照片当头像，你就送我一辆小米su7[OK]
合阳县车宝贝汽车装潢经营部,陕西,2024-07-22 22:12:54,车你造的，多的是，漂坏了公司免费换不？我们耍不起啊，坏了我们买不起啊雷总！
什么鬼什么神,广西,2024-07-22 22:05:24,我不会，难道是因为笨吗！？主要是没有小米SU7
国际友人王德发,湖北,2024-07-22 21:39:42,军儿，你用这个照片当头像，就给我买一辆小米su7👌
崽崽的宝宝,江苏,2024-07-22 21:32:26,小米，我用过最差的品牌，个人用后感
马二爷,广东,2024-07-22 21:18:50,不要模仿军哥，军哥的实力雄厚，我可以舍不得拿自己爱才这遭
文欧潮品,广东,2024-07-22 21:17:57,军儿，如果你去我店铺买一件衣服的话，我就买一辆小米su7，并且我店铺头像用你的
小米苋1987,江苏,2024-07-22 21:17:12,雷厂长，这集就算了吧，万一出意外算谁的，再说了，我们也没有赛车证啊，还是当你的副驾驶比较稳妥，加油，纽北[尬笑]
LY🤘🏼李拜天🐾,江西,2024-07-22 21:16:00,电车就是电门喽……踩猛了会不会烧电机 像沈腾说的 献丑了 然后冒烟了[捂脸]
米粉,江苏,2024-07-22 21:15:46,不是啊，雷总。我也想漂移，可是买不起小米汽车啊？？要不您赞助一辆我试试看？自从上次在宁波在红绿灯看到，我的车还在离合挂挡起步。边上的一辆小米su7已经在下个红绿灯等我了 ！！！当时我都懵了。他飞过去了[泣不成声][泣不成声][泣不成声][泣不成声]
北雁南飞,江苏,2024-07-22 21:14:40,雷总，你在倡导什么？出了交通事故你负责吗？
一昂杨   　　  　　　╲,四川,2024-07-22 20:50:11,雷总，如果用这张图当头像，就给我买一辆小米SU7怎么样？[暗中观察][暗中观察][暗中观察]
叉车挖机教练-小杨,河南,2024-07-22 20:39:31,学会了学会了，明天拿老板的叉车试一下[看][看][看]
橘子海🍊,河北,2024-07-22 19:35:52,学会了[舔屏]明天去驾校练车的时候试试
有故事了-庄公子,浙江,2024-07-22 19:30:51,
非洲第二白,河北,2024-07-22 19:24:49,雷叔我想给你养老[看]
chun,江西,2024-07-22 19:22:13,军儿，如果你用这个照片当头像，我就买一辆小米su7[OK]
21༉,广东,2024-07-22 19:21:24,"雷军:别给年轻人太多建议。
网友:各种建议，好了他真听[泣不成声]     真不愧是爽文男主！"
美羊羊-,广西,2024-07-22 19:14:43,醒醒 换上了[捂脸][OK]还不赶紧交定金
LuoLiKong,重庆,2024-07-22 19:08:59,最新一期视频怎么删了？
Lumos.,河南,2024-07-22 19:04:08,11块够不够摸一下[捂脸]
品森传媒,浙江,2024-07-22 19:02:09,军儿，如果你用这个照片当头像，我就买一辆小米su7[OK]
咿昂杨,海南,2024-07-22 18:58:40,爸 注意安全啊
蛋大毕业生（必回关）,山东,2024-07-22 18:54:31,感谢小米集团给我的工作
❤️…已沦陷,辽宁,2024-07-22 18:53:55,这真么能允许呢 他一个CEO 玩漂移干什么
623610397,上海,2024-07-22 18:52:26,你这个有油门吗[捂脸]
断水流,浙江,2024-07-22 18:51:34,说要买的可以买了中国人不骗中国人
樱,江苏,2024-07-22 18:41:33,雷总你开车的时候为啥要戴头盔
🌈🉑️👖了🌈,江苏,2024-07-22 18:33:23,好无聊啊，雷叔叔我们一起玩花你的钱吧[尬笑]！
☪᭄罖亽☪尐尗ꦿ࿐,广东,2024-07-22 18:30:34,雷军千算万算也猜不到小米汽车订单量那么多丶产量少得狠丶不然今年三十万辆没问题。现在订车太久了丶又是电车！
风也温柔🦋,云南,2024-07-22 18:28:46,雷总，我老公心仪你家小米，但是我怕用车时间久了续航会变低，而且也不知道后期保养费高不高[泣不成声][泣不成声][泣不成声][泣不成声]
张张包,河南,2024-07-22 18:20:53,雷总平易近人，祝雷总月入百万[感谢]
何皇csgo,北京,2024-07-22 18:17:45,不懂就问，按照雷总说的操作会翻车吗[泪奔]想试试
喝咖啡晚上睡不着,吉林,2024-07-22 18:11:47,雷总，可不可以把小米手机前置摄像头拍出来的人像畸变攻克了[流泪]我真的很喜欢我的小米，第一批小米13用户，新家全屋空调都是小米，弄了小米家，拜托拜托[流泪]一个爱自拍的小女孩有点要碎了
阿 文,浙江,2024-07-22 18:10:18,都叫雷总换头像的，你们就下单买小米Su7    我想知道，你们都下单了吗？[赞][赞][赞]
最爱吃橘子🍊,江苏,2024-07-22 18:05:15,军啊！！赶紧补货[送心][送心][送心][鼓掌][鼓掌][鼓掌]
雾漫了风景.,北京,2024-07-22 18:02:59,我勒个豆，起猛了，看见雷总教我玩漂移[尬笑]
IKUN,浙江,2024-07-22 18:01:40,@雷总，小米手机价格能不能稍微降降一点价，我的钱💰不够买。呜呜呜😭
余烬,云南,2024-07-22 18:01:11,我想请问您，小米su7没有备胎，万一我在路上轮胎漏气了怎么办呢？
小意思🐭,云南,2024-07-22 18:00:18,雷总注意保护头发，你的头发激励了很多人[奋斗]
浪漫的工程人,湖南,2024-07-22 17:57:53,在我心里雷总就是巴音布鲁克永远的王
布鲁维斯,陕西,2024-07-22 17:53:36,雷总，你用这个当头像我买一辆su7[九转大肠]
无敌的存在,河南,2024-07-22 17:53:19,小米，战斗！战斗！
人民群众,山东,2024-07-22 17:52:32,军儿，收手吧，你一个大老板，玩什么漂移
右手执香,上海,2024-07-22 17:37:59,电子手刹不拉上吗[呲牙][呲牙][呲牙]
月亮啊月亮,上海,2024-07-22 17:37:43,雷总你要是准备给我送一台SU7你就把头像换成这个
No,江苏,2024-07-22 17:23:56,我才舍不得花几十万的车这样折腾呢，虽然我没有[捂脸][捂脸][捂脸]
冰冰不冷,广西,2024-07-22 17:21:56,"冲浪速度第一霸总
友商已经望尘莫及[捂脸][呆无辜]"
安     💤,河南,2024-07-22 17:16:33,[发呆]37 万怎么赞那么快
天宇,安徽,2024-07-22 17:13:28,雷总卖艺不卖身的，想什么呢
coastal,黑龙江,2024-07-22 17:02:16,最听劝的一集[尬笑]
黑凤梨💞,广西,2024-07-22 16:53:45,雷总，我想给你养老 不为别的 就是想纯粹给你养老[机智]
@寄雪岑诗,广东,2024-07-22 16:53:19,我轮胎磨坏了，你赔不赔？
小伟,浙江,2024-07-22 16:51:02,小米什么时候造飞机
捂眼族,四川,2024-07-22 16:49:49,雷总，我是尊贵的小米14用户，我给你布置个作业，给su7配个专属BGM[紫薇别走][紫薇别走]望尽快完成你的创作。
白了个白,辽宁,2024-07-22 16:49:34,雷总 这个对咱的轮胎有啥影响不[捂脸]要不 你发给我一台 我帮你测试一下吧[泣不成声]
煎饼,福建,2024-07-22 16:47:36,军啊，xiaomi mix fold3用一个月屏幕黑点漏液，有点失望啊
暮若倾城,天津,2024-07-22 16:42:08,敢不敢让我去小米工作[泣不成声]
江吴,浙江,2024-07-22 16:38:01,雷总能不能造点10万块以下的车，跪求
暖心哥～互粉吗😊,陕西,2024-07-22 16:28:46,
望月狼,浙江,2024-07-22 16:26:54,你玩坏了，还有下一辆，我们玩坏了就得自己掏钱修[捂脸][捂脸][捂脸]
图拉,安徽,2024-07-22 16:25:26,雷总，能不能做老人用的助听器？助听器太贵了
凉冰,广东,2024-07-22 16:22:45,雷总，我失业了，能安排一份工作吗？我看王腾的位置就挺不错，让他回非洲吧
帶我逃吧,江苏,2024-07-22 16:21:22,雷总，满意吗[暗中观察]
🔥,广东,2024-07-22 16:16:05,军哥，我太喜欢小米这款车了，奈何现在没钱，你可以先赊一辆给我吗？以后每个月还你一点
庄小鸥,广东,2024-07-22 16:10:55,雷总搞一支小米拉力车队跑一下国内拉力赛吧
饿了就吃饭,云南,2024-07-22 16:08:47,谢谢小米让我在食堂拿到了1500的月薪
美颜颜,湖南,2024-07-22 16:04:00,十年后的雷总[泣不成声][泣不成声]
星星,湖北,2024-07-22 16:01:16,雷总，我35岁前端开发工程师失业了，能给个工作吗？可以不要工资试用那种。
34277812522,江西,2024-07-22 15:55:47,豆汁太难喝了[呆无辜]
边海岸🏝️,湖南,2024-07-22 15:55:18,祝你年入百万雷总
亮仔L,浙江,2024-07-22 15:54:32,那些说换头像买车的赶紧晒订单不要怂
🗡【江湖故人】,广东,2024-07-22 15:54:28,
不如吃茶去,湖北,2024-07-22 15:54:01,雷总，好看吗
潦草肖恩,广东,2024-07-22 15:50:58,下一个研究方向[思考][得意]
梨爱哭,四川,2024-07-22 15:49:59,完了[微笑]我得要筹钱买首付了[微笑][微笑][微笑][微笑]
在逃胡辣汤.,河南,2024-07-22 15:43:15,雷总真的是主打被劝 说换可换上了[泪奔]
梁飕飕.,贵州,2024-07-22 15:41:29,你把方向盘的xiaomi标改了我就买
too,河北,2024-07-22 15:34:16,去买，给你截图了
大乔说剧,内蒙古,2024-07-22 15:22:01,已下都是小米su7车主[你不大行][你不大行][你不大行]
井上玉川,四川,2024-07-22 15:17:09,雷总，我真的好想要一台小米啊[流泪][流泪][流泪]可是我买不起，你可以送我一台吗，我是网络叫花子[流泪][流泪][流泪]
下雨天,河南,2024-07-22 15:16:56,报告老师，没有小米su7怎么办[九转大肠][OK]
拉塞尔•威斯布鲁克,河南,2024-07-22 15:15:31,祝雷总年入百万[飞吻][飞吻][飞吻][飞吻]
靓仔跑滴滴,福建,2024-07-22 15:14:55,信不信雷军这视频出了，电动车保险要增加很多
胖墩の墩,广东,2024-07-22 15:13:40,有谁能告诉我，漂移键是那一个
·ོ,广东,2024-07-22 15:12:56,雷老板，我觉得油门改为叫电门或电踏板，毕竟咱们车不烧油。[泪奔]
@耶斯比尔,吉林,2024-07-22 15:12:22,雷总，听说您没有儿子，如果您不嫌弃的话........
拾光者,广东,2024-07-22 15:12:14,雷总，你怎么什么都会。后面会不会搞小米医院[抱抱你]
清江,广东,2024-07-22 15:10:54,雷总，这太危险了。年纪大了还是不要搞这个危险动作。
该睡觉了💤,河南,2024-07-22 15:08:16,互联网多挣钱啊，你看雷军才玩多久就开上苏7了
李十二,山东,2024-07-22 15:01:17,刚毕业男大准备攒几年钱拿下小米su7[看]
嘻嘻哈哈12138,广东,2024-07-22 15:00:24,雷总，什么时候把📷镜头价格打下来啊[流泪][流泪]
徐先生,上海,2024-07-22 14:58:35,还没考驾照可以开su7吗
尘任凯,广东,2024-07-22 14:56:13,雷冖你车我先开走了
顾杨₪,四川,2024-07-22 14:54:54,这人是真听劝啊！
多次拒绝王心凌,广东,2024-07-22 14:54:47,祝爸月入过万[赞]
博.,河南,2024-07-22 14:52:48,雷总进军一下农业打药无人机吧，家里父母都大了，药壶太重了，求[流泪]。
半俗不雅,新疆,2024-07-22 14:50:28,一亿种驾驶模式您试完了没？
迷人的苍蝇头,河北,2024-07-22 14:49:22,
Ellen,福建,2024-07-22 14:44:44,小爱同学，启动战斗模式！
是暖暖吖,河北,2024-07-22 14:42:05,这个当头像吧雷总，我感觉可帅[鼓掌][鼓掌][鼓掌]
岳飞 岳鹏举（勿扰中）,山东,2024-07-22 14:34:55,祝雷总 年入千万
😀,贵州,2024-07-22 14:33:14,雷总 这样很费胎啊，你那么多苏7肯定不心疼，我才一辆啊
dasen,山东,2024-07-22 14:31:56,不是电车么  为什么还会冒烟[抠鼻]
晴天i🐵,陕西,2024-07-22 14:31:35,什么时候上映[看]  军～
人间,山西,2024-07-22 14:31:13,雷哥，可以搞一款新型羽毛球，我敢觉如果弄成功的话会有很大的收益空间
辉*少,江苏,2024-07-22 14:26:01,雷总，老实交代，是不是入股轮胎厂了？[捂脸]
百忍成精,湖南,2024-07-22 14:25:57,撞车了会不会着火？
我有彩虹🌈,福建,2024-07-22 14:25:54,为什么会这样
仙人FJC,安徽,2024-07-22 14:25:46,"雷总，技术学会了，现在就差一辆小米su7,可我还是大学生，买不起[流泪][流泪][流泪]"
荔枝荷包蛋-,山东,2024-07-22 14:24:48,雷总想要小米男朋友[流泪]
呵….,陕西,2024-07-22 14:23:39,你们在搜什么[噢买尬]
@悟,河南,2024-07-22 14:23:05,你这是油车吗？还加油门？电门吧
£君子恨¢何时灭…,广东,2024-07-22 14:14:13,雷总，啥时候造小米火箭弹
肥嘟嘟左卫门啊,浙江,2024-07-22 14:10:03,[看][看][看]
小阿斌,安徽,2024-07-22 14:09:46,@雷总，按照教程我漂翻了，你得赔我一辆小米。
呆萌小樱❀,湖南,2024-07-22 14:07:43,雷总：要不要加入我的车队？[看]
大蜗牛,四川,2024-07-22 14:07:27,我是不会漂移吗？ 我是缺一辆SU7啊 ！！！
恸,新疆,2024-07-22 14:06:57,@The coastline @Aurorae @借晚风叙旧 @慌、伴 @-、
大宇*,贵州,2024-07-22 14:00:53,我的朋友真听劝呀[看]
全中国最饿的人,重庆,2024-07-22 14:00:14,爹，我是您的女儿雷人啊
小孟不做梦,河南,2024-07-22 13:59:52,学会了 请问雷神 免费的SU7 去哪领
丘比特疯了,陕西,2024-07-22 13:58:28,雷总自从跟你学了漂移，车轮胎都换了10条了，不知道你能不能送我几个轮胎，不然媳妇知道都让离婚了[流泪][流泪][流泪]
古月仙人,浙江,2024-07-22 13:58:08,为什么排气管会冒烟
景文,山东,2024-07-22 13:53:28,雷总 咱造的不是电车吗 怎么尾气都飘出来了[看]
有颜人,广东,2024-07-22 13:52:07,自己看[我想静静]
如皋张学友,江苏,2024-07-22 13:50:47,雷总，小米11拍的月亮
寻风,浙江,2024-07-22 13:49:04,学聪明了，会拉赞助了[看][看][看]
韩涵的严选店,甘肃,2024-07-22 13:48:43,雷总、小米的中控太丑了。建议看一下长安的和吉利的
呼啦啦Yike,河南,2024-07-22 13:43:28,[微笑]
酷渣渣张禄禄,河南,2024-07-22 13:39:37,爸，我也想开
～淘！先生,湖南,2024-07-22 13:23:12,刚在马路上试了一下，蜀黍把我拦下来，说谁教你的，我说你看这个视频。
绘画向拙【绘浮生】,甘肃,2024-07-22 13:14:22,雷总是真听劝！！！[鼓掌][鼓掌][惊喜][惊喜]
爱睡大觉,江苏,2024-07-22 13:10:08,雷总发际线后移了[灵机一动]
Realme真我,贵州,2024-07-22 12:51:00,爸
夏至微至,河南,2024-07-22 12:50:30,我天，雷总也太宠网友了[泣不成声]头像这么快已经换上了
李腿白不白。,浙江,2024-07-22 12:45:02,你还真换啊[泪奔]
杳有所寄,江西,2024-07-22 12:44:51,老轩逸的发动机 你让我怎么漂。指导一下
甜甜酱,广东,2024-07-22 12:31:48,爸，你换这个头像好帅气[赞][赞][赞]
馨陶.,广东,2024-07-22 12:27:50,雷总你还记得我吗？我两从小就不认识，你在你家玩，我在我家玩[流泪][流泪][流泪]
Rondo 2022,广东,2024-07-22 12:27:10,雷总，请问可以开小米SU7在高速公路上玩漂移吗？
🌈柠檬茶少加冰🌈,湖北,2024-07-22 12:11:53,爸
等待,浙江,2024-07-22 12:11:28,雷总，您这张照片怎么那么帅，小米SUV车型啥时候公布呀，很期待，雷总
易散,安徽,2024-07-22 12:08:36,雷总 我爸不给我换红米K70怎么办[泣不成声]
淡泊明志,四川,2024-08-16 21:19:22,雷总看评论真的不会笑吗[捂脸]
起航园林丹丹,广东,2024-08-16 21:03:41,爸爸，希望你能出一款癫痫监测的手环，因为家人有癫痫，然后市面的产品都是骗人的，癫痫患者发作的时候，希望有个手环，链接家人手机报警，第一次时间去看看，很多癫痫大发作掉水里，然后意外死亡，希望爸爸能生产出这样的手环，让大多癫痫患者家人放心，能守护家人健康，希望您用科技的力量降低意外发生，
小薰分享,云南,2024-08-12 19:28:22,雷总开个小米科技大学吧，把大学分数线打下来[捂脸][捂脸][捂脸][捂脸]
郝有才,河北,2024-08-05 21:02:48,不错不错，真好这个车，自从买了以后钓鱼从来不空军了，下次还买啊雷哥！[赞]
向往自由,重庆,2024-08-03 18:57:29,你倒是快点产啊，今天定了
▇,安徽,2024-08-02 11:39:24,雷总，我也买了你的电车了，很帅
来杯冰美式☕️,陕西,2024-08-01 13:13:45,雷总，让谢瑜代言小米手机吧，效果真的会很棒的
汤圆爱干饭🐱,甘肃,2024-08-01 13:09:19,可以让谢瑜代言吗[流泪][流泪]
Sun阿呆,江苏,2024-07-31 22:19:14,个人觉得，雷总的个人粉丝已经破千万了，完全可以脱离小米团队自己出来单干了。[看]
向光而行,河南,2024-07-31 10:58:54,我23年12月31号在小米有品购买的三台云米空调，24年7月23号坏了一个，售后服务人员到家里维修说质量问题，需要换机，从工作人员走了之后让等电话，6天没有任何消息，是换还是修，没有电话，我多次打400和小米有品平台电话一直得不到解决！这难道是我深爱的小米吗？伤透了@雷军
你的宝(˵¯͒〰¯͒˵),广东,2024-07-29 19:04:28,这是什么情况？都找上门了
余生都是你,江西,2024-07-28 12:24:15,雷总去巴黎看奥运会了[偷笑]
岱摩柯瑞西,上海,2024-07-28 11:52:43,不对啊，我的理解是：小艾同学，漂一个！[灵机一动]
纳兰凤岐,四川,2024-07-28 10:10:34,不懂就问：开小米速7还要带头盔吗？
苏喂,福建,2024-07-28 07:01:35,本来我车就破，现在。。。雷雷你不许教了[你不大行][你不大行][你不大行]
大理热心市民☞金水,云南,2024-07-27 23:19:18,别漂移了  小米14买两个月，硬件就出问题！！！然后客服还不理人！！！！
Mr.Left🐘,山西,2024-07-27 19:16:03,雷总，小米su7您安排了，接下来小米酥妻您看意下如何[灵机一动][灵机一动][灵机一动]
冰美式去冰.,江苏,2024-07-26 23:41:56,好的，都学会了，就差一辆小米SU7了，雷总寄我一辆[求抱抱]
♛指尖の旋律♛,云南,2024-07-26 23:12:02,从用智能手机开始就一直用小米，十五年了才用了三个，小米手机有一个通病，收信息有时候会有延迟，锁屏的时候接电话，触摸屏有时会失灵。。。
梨花洛晚風^,河南,2024-07-26 23:11:31,不是小米还有衣服
心易无尘,宁夏,2024-07-26 23:03:31,军哥！别人买车是生活！不像有的人是玩乐！[捂脸][捂脸]有的人踩重了都心疼电！心疼油！心疼轮胎！心疼悬挂！心疼车！看来你也脱离群众很久了！买点车不就是为了降低消费成本吗[捂脸][捂脸]
生活不是电影幸福源于珍惜,四川,2024-07-26 22:16:01,注意安全啊， 爸。
%0|%0,海南,2024-07-26 21:28:58,雷哥一个小网红也是火起来了，现在都接小米广告了，很[赞]这不得月薪两，三万？[呲牙]
唐晨,广东,2024-07-26 21:13:14,你现在一心搞车，你那手机还管不管了[九转大肠]
梁师傅,广西,2024-07-26 20:02:15,雷总，这两年真的辛苦了，人瘦了，发际线也比四年前往后退了[送心]
张大胆💯💯💯,广东,2024-07-26 15:08:35,军儿：下次把低配底盘抬高一点 ，现在太矮了，回村都开不了，你这样我如何开回去到村里发华子[嘿哈]
点点星光,陕西,2024-07-25 23:41:12,我的小米11ultra刚过保2个月就烧wifi了，雷总可以免费给我修一下吗？
混吃等死,贵州,2024-07-25 18:57:27,祝雷总年入百万
姚_201🥁,陕西,2024-07-25 18:37:09,雷总您好，我是一名普通高中学生，对于我长期使用小米巨能写的感受提出点建议：能不能把握笔的地方改成磨砂或者增加一个橡胶套的材质可以防滑，不然我们长时间写作业回导致手部出汗握笔不牢固。谢谢雷总，不知道您能不能看的到，祝中国小米越来越好
耀江物业管理有限公司,广东,2024-07-25 17:06:35,雷老总您好！我能不能拿我的五菱宏光跟你换一辆小米Su7？
小狐狸♥️,安徽,2024-07-25 15:22:00,这两天天天刷到，我昨天晚上都做梦了，梦见开SU7了，真有面啊[捂脸][捂脸][捂脸]
黄金🎖发财,广西,2024-07-25 11:52:43,小米给了你不少好处吧，能接小米的广告
@邱勇同学,广东,2024-07-25 11:04:23,全国静静观望    这几位  喜提 小米su7
于林（年轻化绑扎班组无需带班),河南,2024-07-25 11:01:53,军哥，我是干工地的，我不会开车，你愿意送我一辆吗，我可以为了小米去学开习开车
伽木,贵州,2024-07-25 10:51:34,会了，缺一辆su7[不失礼貌的微笑]
日月,江苏,2024-07-25 10:45:07,雷总，油门不是油车吗，电车是不是应该叫电门
初中升学   香香老师,河南,2024-07-25 10:19:23,雷总儿，如果你用这个照片当头像，就给我买一辆小米su7怎么样
城哥新能源,北京,2024-07-25 08:41:21,谁能告诉我，这个人怎么总是给小米打广告啊
苏幕遮,河北,2024-07-25 07:35:40,雷总，你如果愿意送我一辆小米su7就换这个头像[绿帽子][绿帽子][绿帽子]
用户2467964511383,陕西,2024-07-24 23:49:32,"雷爸爸，好喜欢su7,但实力不允许。可以送我一辆吗[比心][比心]"
杨毓,江苏,2024-07-24 23:14:32,我练习了一下，现在车还在沟里，我觉得不是我的问题，应该是车的问题。所以，我觉得了，买小米再试试。
例外,黑龙江,2024-07-24 22:11:30,雷总，以后请说踩电门，松电门[看]油什么油，那叫电！[抱抱你]
TATTOO 安子,江苏,2024-07-24 22:00:50,那是电门，看来你不太了解自己的产品啊 [捂脸]
长温可乐,浙江,2024-07-24 21:58:15,雷总，谢谢你带我见世面，我祝你月入过亿
Mr.任,北京,2024-07-24 21:55:14,军哥 能来夜店捧捧我场吗 我想赚点提成买SU7[流泪]
🍊怀远玉成-手机数码,安徽,2024-07-24 21:54:00,雷叔，听说您没有儿子，如果您老不嫌弃，我愿给您养老🙇🏻‍♂️🙇🏻‍♂️🙇🏻‍♂️
秦,湖北,2024-07-24 21:32:04,怎么做到说话不脸红的[钱][钱][钱]
妙龄孕妇公车竟遭几名壮汉轮流让座,IP未知,2024-07-24 20:52:37,以后 马路上全是漂移的 交警：跟谁学的？ 我 ：雷军说这样非常帅
农民精选,贵州,2024-07-24 18:14:42,给雷总点赞，雷总喜欢吃土鸡的话免费送你几只，正宗农村散养土鸡[呲牙]
清纯小白羊,河南,2024-07-24 18:14:24,雷总 我13-16周的单现在都不下线[九转大肠]开始生气了
小野蛮,广东,2024-07-24 16:24:31,雷总，因为这个卖了多少台车？
吹垮D,贵州,2024-07-24 16:06:14,军儿主打一个听劝 头像都换了[捂脸]
牧云吖,广西,2024-07-24 15:33:09,按照你的教程操作，最后还好有祖宗保佑
🌈幻想与现实,四川,2024-07-24 15:09:23,雷总，听说您没有儿子，我想给您养老
你赖东东不错嘛！,吉林,2024-07-24 14:44:58,雷总如果你同意送我一台SU7，就换上这个头像吧
宰猪匠,云南,2024-07-24 14:05:19,军军子，如果你同意送我台SU7，就用这个当头像👌
阳光种子,浙江,2024-07-24 12:32:59,雷总 换个大背头发型？那不是更炸裂？？？？
朝雷,河北,2024-07-24 10:40:17,雷总能不能生产一款5万左右的小米汽车？能让老百姓都能开的起的那种[赞][赞][赞][赞][赞]谢谢…
小栗旬,湖南,2024-07-24 10:37:55,军儿，如果你用这个照片当头像，就给我买一辆小米su7怎样[展开说说]
李时珍的皮,广东,2024-07-24 09:58:12,小米能请这么大博主做广告也算是熬出头了[尬笑]
吉他小玩家,河南,2024-07-24 08:04:20,学会了 没下单 车啥时候给我[宕机]
安 心,广东,2024-07-24 07:45:23,雷军算是知道流量怎么玩  广告怎么打了
大麦子呀,江苏,2024-07-23 23:03:12,"我学会了！谢谢雷总！总结一下：轻打方向盘，让车速呢，以20码的速度呢，慢慢绕圈，准备好以后深踩油门，让车尾甩起来，松油门的时候呢，反打方向盘，连起来就可以完成一次非常帅气的起漂！"
勇～刚好遇见你,湖北,2024-07-23 22:28:50,雷总真的换头像了？[捂脸][捂脸][捂脸]
知足常乐的熊🐻,广东,2024-07-23 21:03:31,雷总，儿童电话手表建议您研究下，市场很大，现在小朋友都用小天才，但是价格不便宜，希望您能把价格打下来，毕竟小朋友用，主要功能电话 视频 定位有就行了，市场很大[舔屏]
大王是火火,江西,2024-07-23 20:58:24,那么问题来了，小米苏7费油吗？油耗怎么样
吐蕃国师鸠摩智,陕西,2024-07-23 20:54:08,油门？不是电门吗？[白眼]电门谁敢踩！命要紧！不买了！
不知终日梦为鱼🏝,上海,2024-07-23 20:38:57,雷总，我试了，记得送我几个胎。[机智]
全案交付-原几里,四川,2024-07-23 19:06:07,军儿，咱这可不兴教啊，哪天被飘逸的su7撞了我可找你培[偷笑]
耶耶耶！,浙江,2024-07-23 19:03:51,雷总，替身车技不错
惊风(南京群演领队协拍),江苏,2024-07-23 19:02:27,雷总什么时候出兰博基米，有这个计划的话我暂时就不买其他车了，等你们出[色]
02017014,黑龙江,2024-07-23 18:54:58,雷总你踩的是电门
浪漫伊甸,山东,2024-07-23 18:31:50,爹，送我一辆吧！
天翊丶,广东,2024-07-23 18:31:36,雷总，您好。贵公司有个叫金凡的小伙子，做的东西太棒了，用的太舒服了，麻烦您让他开通一个抖音号，我要好好感谢感谢他，请他喝奶茶。[比心]
悲伤的蜜蜂,安徽,2024-07-23 18:29:59,主播也是好起来了，接上su7的广子了[捂脸][OK]
心宽体胖,江苏,2024-07-23 18:24:31,雷总，如果你用这个照片当头像，你送我一辆su7怎么样[微笑]
哦豁哦豁哦豁,广东,2024-07-23 18:11:02,[疑问]雷义父，电车为什么叫油门而不是叫电门呢
陳光榮,广东,2024-07-23 18:08:12,雷总，是深踩电门[黑脸]
李李李L,吉林,2024-07-23 18:05:11,民用车不做底盘强化不建议漂移 雷总不要误导客户啊
德江县五八街舞工作室,贵州,2024-07-23 17:55:55,这种教学还是少拍，像我这种比较爱模仿的就很惨[微笑]
懒了个羊,湖南,2024-07-23 17:53:52,为什么不能让小爱同学自动漂移呢[呲牙]
撵狗狂人,安徽,2024-07-23 17:04:39,我终于知道这老小子为啥造车了，他是迷上赛车了[微笑]
hyunee,北京,2024-07-23 16:40:07,雷总快感谢我[送心]
天亮就睡,江苏,2024-07-23 16:39:02,又想骗我换轮胎
